Product pillar,Feature,User problem,Frontend evidence,Backend evidence,Database evidence,Integration evidence,Maturity state,Connected modules,Buyer value,Limitations
Financial intelligence,Do-nothing simulator,Homeowners need to understand the cost of deferring action,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/do-nothing/*","apps/backend/src/routes/doNothingSimulator.routes.ts","DoNothingScenario; DoNothingSimulationRun","Shared assumptions","Implemented and connected","Risk premium; maintenance; true cost","Good strategic asset for proactive decision support","Simulation quality depends on source-data richness"
Financial intelligence,Financing scenarios,Homeowners need to compare ways to fund home work,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/financing/*; apps/frontend/src/app/(dashboard)/dashboard/financing/*","apps/backend/src/routes/financing.routes.ts; apps/backend/src/services/financingCalculator.service.ts","FinancingScenario","None required","Implemented and connected","Renovation advisor; break-even; capital timeline","Useful for lenders and home-improvement ecosystems","Would need compliance review before production financial guidance"
Financial intelligence,Hidden asset finder,Homeowners need help finding missed benefits or value sources,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/hidden-asset-finder/*","apps/backend/src/routes/hiddenAssets.routes.ts; apps/workers/src/jobs/hiddenAssetRefresh.job.ts","HiddenAsset models/services","Worker refresh pipeline","Implemented but partially connected","Savings; property data","Supports the platform’s “find missed value” thesis","External data depth and validation are still evolving"
Financial intelligence,Home savings,Homeowners need recurring-savings recommendations across household spend categories,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/home-savings/*","apps/backend/src/routes/homeSavings.routes.ts; apps/backend/src/services/homeSavings.service.ts","HomeSavingsCategory; HomeSavingsAccount; HomeSavingsOpportunity","Category modules for insurance / internet / utilities / warranty","Implemented and connected","Insurance; guidance; financial dashboard","Strong roadmap-acceleration asset for retention/cross-sell","Not evidence of realized savings at scale"
Financial intelligence,Insurance trend,Homeowners need to see how premium pressure is changing over time,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/insurance-trend/*","apps/backend/src/routes/insuranceCostTrend.routes.ts","Insurance trend snapshot models","None required","Implemented but partially connected","Coverage intelligence; home savings","Adds context for policy-review timing","Depends on underlying insurance data presence"
Financial intelligence,Mortgage refinance radar,Homeowners need passive monitoring and a controlled decision journey for refinance windows,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/mortgage-refinance-radar/*","apps/backend/src/refinanceRadar/*; apps/workers/src/jobs/ingestMortgageRates.job.ts; apps/workers/src/jobs/evaluateRefinanceRadar.job.ts","MortgageRateSnapshot; RefinanceOpportunity; PropertyRefinanceRadarState; RefinanceEvaluationClaim; RefinanceScenarioSnapshot; RefinanceLoanEstimateComparisonSnapshot; RefinanceDecision; RefinanceDecisionHistory","Weekly FRED ingestion; durable property evaluation; transition events; guarded alert delivery","Implemented and audit-aligned; external channels gated","PropertyFinancingProfile; canonical Home Actions; Gazette; admin analytics","Always-on material-financial decision capability with reviewed official-offer comparison and verified outcome measurement","External email and Web Push remain fail-closed ALLOWLIST-only; no automated lender transmission"
Financial intelligence,Negotiation shield,Homeowners need structured support for quote clarification and negotiation,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/negotiation-shield/*","apps/backend/src/routes/negotiationShield.routes.ts; apps/backend/src/services/serviceQuoteDecisionJourney.service.ts","NegotiationShield* models; QuoteComparisonWorkspace","Document attachments and canonical decision-stage links","Implemented and connected","Service quote decision; inspection hub; claims","Differentiated decision-support stage for costly decisions","Outcome quality still requires production validation"
Financial intelligence,Price finalization,Homeowners need to preserve accepted price scope and terms before booking,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/price-finalization/*","apps/backend/src/routes/priceFinalization.routes.ts; apps/backend/src/services/serviceQuoteDecisionJourney.service.ts","PriceFinalization* models; QuoteComparisonWorkspace","Canonical decision-stage linkage","Implemented and connected","Service quote decision; negotiation shield; booking","Preserves the durable terms needed for a trustworthy booking handoff","Database schema reconciliation is deployment-owner work"
Financial intelligence,Property tax,Homeowners need help tracking assessment pressure and tax-related action,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/property-tax/*","apps/backend/src/routes/propertyTax.routes.ts; apps/workers/src/jobs/ingestTaxAssessmentEvents.job.ts","Property tax and home-event models","Tax assessment ingest job","Implemented and connected","Home event radar; financial views","Appealing adjacency for prop-tech and mortgage buyers","May require jurisdiction-specific expansion"
Financial intelligence,Quote comparison,Homeowners need normalized side-by-side quote review and a durable service decision,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/quote-comparison/*","apps/backend/src/routes/quoteComparison.routes.ts; apps/backend/src/services/quoteComparison.service.ts","QuoteComparisonWorkspace; QuoteComparisonQuote; normalized scope terms extractions clarifications and transitions","Document extraction; benchmark evidence; decision-stage links","Implemented and connected","Service price radar; negotiation shield; price finalization; booking","Canonical workspace for the complete Service Quote Decision outcome","Qualified comparison depends on confirmed like-for-like scope"
Financial intelligence,Reserve fund planner,Homeowners need a buffer plan for future home expenses,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/reserve-fund/*","apps/backend/src/routes/homeReserveFund.routes.ts; apps/workers/src/jobs/recalculateReserveFunds.job.ts","HomeReserveFund","Reminder and reconciliation jobs","Implemented and connected","Capital timeline; cost volatility; true cost","Strong recurring-engagement and retention module","Still needs production hardening and customer validation"
Financial intelligence,Risk premium optimizer,Homeowners need to weigh risk-reduction work against premium or loss exposure,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/risk-premium-optimizer/*","apps/backend/src/routes/riskPremiumOptimizer.routes.ts","RiskPremiumOptimization*","Shared signals and assumptions","Implemented and connected","Coverage; do-nothing; home score","Good example of connected protection + finance thinking","Model outputs require careful disclaimering"
Financial intelligence,Sell-hold-rent analysis,Owners need strategic property disposition comparisons,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/sell-hold-rent/*","apps/backend/src/routes/sellHoldRent.routes.ts","SellHoldRent analysis models","None required","Implemented and connected","Seller prep; appreciation; true cost","Useful to real-estate and mortgage acquirers","Decision quality depends on assumptions and market inputs"
Financial intelligence,Service price radar,Homeowners need truthful planning or qualified price evidence before deciding on service work,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/service-price-radar/*","apps/backend/src/routes/servicePriceRadar.routes.ts; apps/backend/src/services/servicePriceRadar.service.ts; apps/backend/src/services/servicePriceBenchmarkQualification.ts","ServiceRadarCheck; qualified benchmark lifecycle; QuoteComparisonWorkspace links","Reviewed licensed healthy benchmark releases; planning-only fail-closed fallback","Implemented and connected","Canonical Service Quote Decision; guidance; maintenance","Directly relevant to service marketplaces while preserving evidence provenance","Qualified verdict coverage depends on approved current source data"
Financial intelligence,True cost of ownership,Homeowners need a synthesized ownership-cost view,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/true-cost/*","apps/backend/src/routes/trueCostOwnership.routes.ts","TrueCost snapshot models","None required","Implemented and connected","Cost growth; savings; reserve fund","Good executive-summary financial surface","Less differentiated without surrounding system context"
Protection and risk,Guidance overview,Homeowners need an actionable “what next” layer across tools,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/guidance-overview/*","apps/backend/src/routes/guidance.routes.ts; apps/backend/src/services/guidanceEngine/*","GuidanceSignal; GuidanceJourney; GuidanceJourneyStep","Signals from many tools/workers","Implemented and connected","Coverage; savings; maintenance; risk","Core platform intelligence asset for strategic buyers","Effectiveness depends on breadth and freshness of upstream signals"
Protection and risk,Home event radar,Homeowners need property-relevant event awareness over time,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/home-event-radar/*","apps/backend/src/routes/homeEventRadar.routes.ts; apps/workers/src/jobs/ingestRadarSignals.job.ts","PropertyRadar*; HomeEvent","Worker ingest pipeline can use dummy fixtures in QA","Implemented but partially connected","Guidance; timeline; neighborhood; tax events","Important for proactive monitoring thesis","Some ingests are synthetic in non-production workflows"
Protection and risk,Home risk replay,"Homeowners need historical risk context, not just current alerts","apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/home-risk-replay/*","apps/backend/src/routes/homeRiskReplay.routes.ts; apps/backend/src/services/homeRiskReplay.engine.ts","HomeRiskReplay*","Worker ingest pipeline can use dummy fixtures in QA","Implemented but partially connected","Guidance; incidents; weather risk","Differentiated way to frame risk memory and action","Historical event quality depends on feed quality and coverage"
Protection and risk,Inspection hub,Homeowners need to turn reports into actionable findings and decisions,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/inspection-hub/*; tools/inspection-hub/page.tsx","apps/backend/src/routes/inspectionHub.routes.ts","InspectionHubReport; InspectionHubFinding*","PDF upload; AI extraction/analysis dependencies","Implemented and connected","Negotiation shield; permits; seller prep","Strong buyer-facing example of workflow depth beyond static documents","AI-dependent flows need credentials and hardening"
Protection and risk,Plant advisor,Homeowners need room-aware recommendations for plant placement and care,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/plant-advisor/*","apps/backend/src/routes/roomPlantAdvisor.routes.ts","RoomPlantProfile; RoomPlantRecommendation","None required","Implemented and connected","Rooms; digital twin context","Shows platform extensibility into lifestyle/personalization","Less central to acquisition thesis than financial/risk workflows"
Protection and risk,Home habit coach,Homeowners need small recurring actions to keep the home in better shape,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/home-habit-coach/*","apps/backend/src/routes/homeHabitCoach.routes.ts; apps/workers/src/jobs/habitGeneration.job.ts","HomeHabit* models","Habit generation job","Implemented and connected","Daily pulse; maintenance; guidance","Supports retention and ongoing engagement","Behavior-change impact is still unvalidated"
Protection and risk,Home digital will,Homeowners need continuity for home-specific knowledge and emergency access,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/home-digital-will/*","apps/backend/src/routes/homeDigitalWill.routes.ts; apps/backend/src/services/homeDigitalWill.service.ts","HomeDigitalWill*","ACL and invite patterns","Implemented and connected","Vault; household","Differentiated ownership-memory feature","Needs legal/privacy review before scaled rollout"
Property intelligence,DIY project center,Homeowners need a self-serve path for feasible home projects,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/diy/*","apps/backend/src/routes/diy.routes.ts; apps/backend/src/services/diy.service.ts","DiySkillProfile / DiyProjectTemplate / DiyProject / DiyAiGuide","BullMQ AI guide generation","Implemented and connected","Project tracker; maintenance; renovation","Useful for builder, retailer, or service-network buyers","AI guide quality and safety guardrails need ongoing review"
Property intelligence,HOA compliance,Homeowners need a workflow for HOA rules and compliance reminders,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/hoa/page.tsx; apps/frontend/src/app/(dashboard)/dashboard/hoa/page.tsx","apps/backend/src/routes/hoaCompliance.routes.ts","HOACompliance* models","None required","Implemented but partially connected","Guidance; documents","Relevant for condo/townhome ownership products","Property tool route is a redirect; maturity less proven than core modules"
Property intelligence,Home digital twin,Homeowners need a living model of systems and age plus scenario impact,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/home-digital-twin/*","apps/backend/src/routes/homeDigitalTwin.routes.ts; apps/backend/src/services/homeDigitalTwin*.ts","HomeDigitalTwin / HomeTwinScenario / HomeTwinScenarioImpact","Recommendations and scenario services","Implemented and connected","Inventory; status board; renovation advisor","High-value architecture and IP for roadmap acceleration","Model confidence is partly heuristic and explicitly disclosed"
Property intelligence,Home renovation risk advisor,Homeowners need permit/tax/licensing guidance before renovation work,"apps/frontend/src/app/(dashboard)/dashboard/home-renovation-risk-advisor/page.tsx; tools/home-renovation-risk-advisor/page.tsx","apps/backend/src/homeRenovationAdvisor/*","HomeRenovationAdvisorSession*","Potential tie-ins to digital twin and permit data","Implemented and connected","Permits; digital twin; financing","Shows unusual depth in home-improvement compliance intelligence","Would need production testing with real jurisdictions"
Property intelligence,Permits tracker,"Homeowners need permit history, milestones, and unpermitted-work flags","apps/frontend/src/app/(dashboard)/dashboard/permits/*; tools/permits/page.tsx","apps/backend/src/routes/permitTracker.routes.ts; apps/backend/src/services/permitTracker.service.ts","PropertyPermitRecord / PermitInspectionMilestone / PermitUnpermittedFlag","Permit fetch jobs; disclosure export queue","Implemented and connected","Inspection readiness; renovation advisor; home score","Strong fit for real-estate, insurer, and property-data buyers","Property tool route redirects into shared permits area"
Property intelligence,Neighborhood change radar,Homeowners need nearby-development context that may affect risk or value,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/neighborhood-change-radar/*","apps/backend/src/neighborhoodIntelligence/*; apps/backend/src/routes/neighborhoodIntelligence.routes.ts","NeighborhoodEvent; PropertyNeighborhoodEvent; NeighborhoodImpact","Refresh job; dummy event client for QA; community sources","Implemented but partially connected","Gazette; guidance; community data","Differentiated local-context asset","QA pipelines rely on synthetic events; live coverage varies"
Property intelligence,Home Briefing,Homeowners need a readable cadence-aware summary of material property changes,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/tools/home-briefing/*; apps/frontend/src/app/home-briefing/share/[token]/*","apps/backend/src/homeBriefing/*; apps/workers/src/jobs/homeBriefingDelivery.job.ts","HomeBriefingPreference; HomeBriefingDelivery; HomeBriefingItem; HomeBriefingShare","Deterministic canonical-change copy","Implemented with canonical Property Change lineage","Home Actions; Timeline; Around Your Home; Past Hazard Exposure","Evidence-bound delta delivery with preferences and selected-item sharing","Source-family launch gates and worker delivery cadence"
Property intelligence,Material spec registry,Homeowners need durable memory for finishes and materials,"apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/materials/*","apps/backend/src/routes/materialSpec.routes.ts; apps/backend/src/services/materialSpec.service.ts","MaterialSpec; MaterialSpecPhoto; MaterialSpecExport","Export jobs","Implemented and connected","Documents; digital twin; projects","Useful for long-tail ownership memory and resale prep","Niche compared with core savings/risk modules"
Property intelligence,Household collaboration,Homeowners need shared access and role-based collaboration around the home,"apps/frontend/src/app/invite/[token]/page.tsx; apps/frontend/src/app/(dashboard)/dashboard/properties/[id]/household/page.tsx","apps/backend/src/routes/household.routes.ts; apps/backend/src/services/household.service.ts","HouseholdMember; HouseholdInvite; HouseholdActivityLog","Invite-token flow","Implemented and connected","Digital will; vault; maintenance","Important for multi-user household retention","Needs scaled UX validation"
