path,domain,type,title,status,version,lines,first_commit,last_commit,code_refs,dead_refs,flag,flag_id,flag_note,review_basis
architecture/ASK_COZY_PHASE5_ATTENTION_ACCEPTANCE_VERIFICATION.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Phase 5 Read-Only Attention Acceptance Scenario Verification,"Complete — the 6 acceptance scenarios Phase 5 is actually scoped to (T01–T03, T08–T10) evaluated. **",,125,2026-09-17,2026-09-17,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_PHASE6_BUYER_ACCEPTANCE_VERIFICATION.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Phase 6 Buyer Acceptance Scenario Verification,"Complete — all 10 acceptance scenarios (B01–B10) plus the Phase 6 exit criterion's ""no undeclared it",,200,2026-09-17,2026-09-17,2,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_PHASE7_DECISIONS_ACCEPTANCE_VERIFICATION.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Phase 7 Decisions and Projects Acceptance Scenario Verification,Complete — all 8 acceptance scenarios (D01–D08) evaluated. **D07 revised 2026-09-17 after external r,,148,2026-09-17,2026-09-17,1,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_PHASE8_PROTECTION_ACCEPTANCE_VERIFICATION.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,Ask Cozy Cross-Domain Interaction Rollout — Phase 8 Protection and Claims Acceptance Scenario Verification,Complete — all 8 acceptance scenarios (P01–P08) evaluated. **Revised 2026-09-17 after external revie,,135,2026-09-17,2026-09-17,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/ASK_COZY_TARGET_PRODUCT_AND_ARCHITECTURE.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Feature reference,Ask Cozy — Target Product & Architecture (Stage 2),,,846,2026-09-11,2026-09-17,1,0,,,,"inventory, metadata and cited-path checks only"
architecture/AUDIT_METHODOLOGY.md,Meta & Methodology,Audit / analysis,Architecture Audit & Gap-Analysis Verification Standard,,,245,2026-09-11,2026-09-12,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/C2C_INTELLIGENCE_AGENTIC_EVOLUTION_ARCHITECTURE.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Feature reference,C2C Intelligence & Agentic Evolution Architecture (Stage 3),Approved target architecture — implementation in progress; owner inputs remain phase-gated where doc,,1659,2026-08-26,2026-08-31,5,0,,,,"inventory, metadata and cited-path checks only"
architecture/C2C_INTELLIGENCE_AGENTIC_EVOLUTION_IMPLEMENTATION_PLAN.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Plan,C2C Intelligence & Agentic Evolution — Implementation Plan,Approved implementation plan — implementation in progress; unresolved owner inputs in §3 remain phas,,571,2026-08-27,2026-08-31,69,1,,,,"inventory, metadata and cited-path checks only"
architecture/GUIDANCE_ENGINE.md,"Guidance, Actions & Home Intelligence",Feature reference,Guidance Engine (Deterministic Resolution Journey),,,690,2026-03-24,2026-03-24,27,1,ORANGE,C3,"Three overlapping Guidance Engine specs (this, FRD_Updated, architecture/GUIDANCE_ENGINE.md); no doc says which governs. Last touched Mar 24-26 (FRD had a Jul 27 touch).",targeted cross-document and/or code-path review
architecture/HOMESCORE_DB_CERTIFICATION_GRADE_PLAN.md,Data Architecture (Pass 1-7),Plan,HomeScore Report: Recommended DB Changes for Certification-Grade Durability and Scale,,,291,2026-03-10,2026-03-10,0,0,YELLOW,H,"Historical snapshot (last changed 2026-03-10, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
architecture/adr-home-event-radar-canonical-pipeline.md,"Property Intelligence, Environment & Event Radar",ADR (decision),ADR — Home Event Radar Canonical Signal Pipeline,,,102,2026-07-26,2026-07-26,0,0,,,,"inventory, metadata and cited-path checks only"
architecture/adr-home-event-radar-insurance-source.md,"Property Intelligence, Environment & Event Radar",ADR (decision),ADR: Home Event Radar Insurance-Market Source,Accepted no-go; category remains unavailable |,,285,2026-07-27,2026-07-27,1,0,,,,"inventory, metadata and cited-path checks only"
architecture/adr-home-event-radar-utility-source.md,"Property Intelligence, Environment & Event Radar",ADR (decision),ADR: Home Event Radar Utility-Outage Source,Accepted; integration and commercial activation pending |,,229,2026-07-27,2026-07-27,0,0,,,,"inventory, metadata and cited-path checks only"
audit-gemini/90-day-roadmap-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 12 — 90-Day Pre-Launch Roadmap: ContractToCozy (CtC),,,63,2026-04-19,2026-04-19,0,0,ORANGE,C10,"One of ~7 overlapping Apr 18-20 pre-launch plans (audit/ + audit-gemini/); no index says which is canonical. Pre-launch framing is out of date (W7 real-user cutover runbook exists, Jul 2026).",targeted cross-document and/or code-path review
audit-gemini/activation-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 8 — Activation Audit: ContractToCozy (CtC),,,56,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/analytics-measurement-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 9 — Analytics & Measurement Audit: ContractToCozy (CtC),,,62,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/canonical-audit-contract-v3.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Audit Canonical Contract (v3),,,97,2026-04-19,2026-04-19,2,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/canonical-v3-implementation-plan-2026-04-19.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Canonical v3 Implementation Plan (Audit Findings Closure),,,362,2026-04-19,2026-04-19,23,1,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/executive-verdict-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 13 — Executive Verdict: ContractToCozy (CtC),,,50,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/first-impression-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 2 — First Impression Audit: ContractToCozy (CtC),,,63,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/hero-experience-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 3 — Hero Experience Audit: ContractToCozy (CtC),,,56,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/hide-before-launch-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,"SECTION 11 — The Great Curation: ""Surface"" vs ""Engine""",,,49,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/j-partial-missing-implementation-plan.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,J Checklist Implementation Plan (Partial + Missing Items),,,94,2026-04-19,2026-04-20,1,0,YELLOW,H,"Historical snapshot (last changed 2026-04-20, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/milestone1-rate-limit-contract.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Milestone 1 Rate-Limit Contract (AI + OCR),,,58,2026-04-19,2026-04-19,3,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/monetization-readiness-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 10 — Monetization Readiness Audit: ContractToCozy (CtC),,,55,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/pre-launch-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Pre-Launch Product Audit: ContractToCozy (CtC),,,54,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/product-coherence-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,"SECTION 5 — Product Coherence: The ""Home Command Center""",,,58,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/product-surface-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 1 — Product Surface Audit: The Engine-to-Outcome Mapping,,,83,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/reliability-hardening-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 7 — Reliability / Hardening Audit: ContractToCozy (CtC),,,47,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/sprint2-empty-state-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Sprint 2 Empty-State Audit,,,29,2026-04-20,2026-04-20,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-20, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/sprint3-external-user-testing-report.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Sprint 3 External User Testing Report,,,46,2026-04-20,2026-04-20,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-20, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/sprint3-final-cta-traversal-report.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Sprint 3 Final CTA Traversal Report,,,14,2026-04-20,2026-04-20,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-20, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/sprint3-implementation-status.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Sprint 3 Implementation Status,,,22,2026-04-20,2026-04-20,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-20, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/sprint3-mobile-qa-matrix.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Sprint 3 Mobile QA Matrix,,,33,2026-04-20,2026-09-09,0,0,,,,"inventory, metadata and cited-path checks only"
audit-gemini/sprint3-provider-smoke-report.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Runbook / ops,Sprint 3 Provider Portal Smoke Report,PASS,,21,2026-04-20,2026-04-20,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-20, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/strategic-transformation-plan.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy — Strategic Transformation Plan,,,1133,2026-04-19,2026-04-19,1,0,ORANGE,C10,"One of ~7 overlapping Apr 18-20 pre-launch plans (audit/ + audit-gemini/); no index says which is canonical. Pre-launch framing is out of date (W7 real-user cutover runbook exists, Jul 2026).",targeted cross-document and/or code-path review
audit-gemini/trust-credibility-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 6 — Trust & Credibility Audit: ContractToCozy (CtC),,,59,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit-gemini/ux-premium-readiness-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,SECTION 4 — UX / Premium Readiness Audit: ContractToCozy (CtC),,,53,2026-04-19,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit/contracttocozy-90-day-execution-plan-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy 90-Day Execution Plan,,,271,2026-04-18,2026-09-24,0,0,RED,C10,The v2 sibling explicitly supersedes this v1 in its header. Retain only if historical comparison is needed.,targeted cross-document and/or code-path review
audit/contracttocozy-90-day-execution-plan-v2-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy 90-Day Execution Plan — v2,,,389,2026-04-18,2026-04-19,0,0,ORANGE,C10,"One of ~7 overlapping Apr 18-20 pre-launch plans (audit/ + audit-gemini/); no index says which is canonical. Pre-launch framing is out of date (W7 real-user cutover runbook exists, Jul 2026).",targeted cross-document and/or code-path review
audit/contracttocozy-implementation-plan-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy — Pre-Launch Implementation Plan,,,191,2026-04-18,2026-04-19,0,0,ORANGE,C10,"One of ~7 overlapping Apr 18-20 pre-launch plans (audit/ + audit-gemini/); no index says which is canonical. Pre-launch framing is out of date (W7 real-user cutover runbook exists, Jul 2026).",targeted cross-document and/or code-path review
audit/contracttocozy-pre-launch-execution-plan-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy Pre-Launch Execution Plan,,,429,2026-04-18,2026-04-19,0,0,ORANGE,C10,"One of ~7 overlapping Apr 18-20 pre-launch plans (audit/ + audit-gemini/); no index says which is canonical. Pre-launch framing is out of date (W7 real-user cutover runbook exists, Jul 2026).",targeted cross-document and/or code-path review
audit/contracttocozy-pre-launch-hardening-plan-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy Pre-Launch Hardening Plan,,,433,2026-04-18,2026-04-19,0,0,ORANGE,C10,"One of ~7 overlapping Apr 18-20 pre-launch plans (audit/ + audit-gemini/); no index says which is canonical. Pre-launch framing is out of date (W7 real-user cutover runbook exists, Jul 2026).",targeted cross-document and/or code-path review
audit/contracttocozy-route-merge-map-2026-04-18.csv,Pre-Launch Audits & Strategy (Mar-Apr 2026),Data / asset,contracttocozy-route-merge-map-2026-04-18.csv,,,0,2026-04-18,2026-04-18,0,0,,,,"inventory, metadata and cited-path checks only"
audit/contracttocozy-route-merge-map-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy Route Merge Map (Old -> Canonical),,,161,2026-04-18,2026-04-18,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-18, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit/contracttocozy-route-merge-map-p0-safe-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy Revised P0-Safe Merge Table (Drop-in Replacement),Ready for engineering implementation.,,42,2026-04-18,2026-04-18,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-18, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audit/contracttocozy-strategic-audit-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy (CtC) Strategic Product Audit,,,485,2026-04-18,2026-09-24,0,0,RED,C10,The v2 sibling explicitly supersedes this v1 in its header. Retain only if historical comparison is needed.,targeted cross-document and/or code-path review
audit/contracttocozy-strategic-audit-v2-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,ContractToCozy (CtC) Strategic Product Audit — v2,,,566,2026-04-18,2026-04-19,0,0,ORANGE,C10,"One of ~7 overlapping Apr 18-20 pre-launch plans (audit/ + audit-gemini/); no index says which is canonical. Pre-launch framing is out of date (W7 real-user cutover runbook exists, Jul 2026).",targeted cross-document and/or code-path review
audit/sprint1-gap-register-2026-04-18.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Sprint 1 — Gap Register,,,178,2026-04-18,2026-04-19,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-19, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/AGENTIC_READINESS_AUDIT.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,ContractToCozy Agentic Readiness Audit,,,568,2026-08-25,2026-08-26,2,0,,,,"inventory, metadata and cited-path checks only"
audits/CONTRACTTOCOZY_INTELLIGENCE_READINESS_AUDIT.md,"Ask Cozy, AI Concierge & Agentic Intelligence",Audit / analysis,ContractToCozy Intelligence Readiness Audit,,,786,2026-08-22,2026-08-23,20,0,,,,"inventory, metadata and cited-path checks only"
audits/PROPERTY_SETUP_CURRENT_STATE_AUDIT.md,Property Context & Property Setup,Audit / analysis,Property Setup Current-State Audit,,,740,2026-09-06,2026-09-09,38,2,,,,"inventory, metadata and cited-path checks only"
audits/PWA_LAYER_AUDIT.md,"Admin, Workers & Operations",Audit / analysis,PWA Layer Audit,,,728,2026-09-08,2026-09-09,25,1,,,,"inventory, metadata and cited-path checks only"
audits/signal-action-audit.json,Pre-Launch Audits & Strategy (Mar-Apr 2026),Data / asset,signal-action-audit.json,,,0,2026-03-17,2026-03-18,0,0,,,,"inventory, metadata and cited-path checks only"
audits/signal-action-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Signal & Action Audit (Final Hardened) — v3.0,,3.0,341,2026-03-17,2026-03-18,0,0,YELLOW,H,"Historical snapshot (last changed 2026-03-18, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/signal-action-taxonomy.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Signal & Action Taxonomy Reference — v3.0,,3.0,409,2026-03-18,2026-03-18,0,0,YELLOW,H,"Historical snapshot (last changed 2026-03-18, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/ui-audit/route-audit-tracker.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,route-audit-tracker.md,,,247,2026-04-12,2026-04-12,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-12, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/ui-audit/route-audit_implementation-plan.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,route-audit_implementation-plan.md,,,168,2026-04-12,2026-04-12,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-12, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/ui-audit/route-audit_system.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,route-audit_system.md,,,463,2026-04-12,2026-04-12,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-12, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/ui-audit/scorecards/buyer-readiness-trend.v1.json,Pre-Launch Audits & Strategy (Mar-Apr 2026),Data / asset,buyer-readiness-trend.v1.json,,,0,2026-04-13,2026-04-13,0,0,,,,"inventory, metadata and cited-path checks only"
audits/ui-audit/scorecards/buyer-readiness-trend.v1.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,Buyer-Readiness Trend Scorecard (Track 3),,,61,2026-04-13,2026-04-13,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-13, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/ui-audit/tracker/README.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,CtC Route Audit Tracker (Track 1),,,29,2026-04-12,2026-04-13,3,0,YELLOW,H,"Historical snapshot (last changed 2026-04-13, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
audits/ui-audit/tracker/p0-p1-route-inventory.v1.json,Pre-Launch Audits & Strategy (Mar-Apr 2026),Data / asset,p0-p1-route-inventory.v1.json,,,0,2026-04-12,2026-04-12,0,0,,,,"inventory, metadata and cited-path checks only"
audits/ui-audit/tracker/repeated-issue-taxonomy.v1.json,Pre-Launch Audits & Strategy (Mar-Apr 2026),Data / asset,repeated-issue-taxonomy.v1.json,,,0,2026-04-12,2026-04-12,0,0,,,,"inventory, metadata and cited-path checks only"
audits/ui-audit/tracker/route-audit-tracker.v1.json,Pre-Launch Audits & Strategy (Mar-Apr 2026),Data / asset,route-audit-tracker.v1.json,,,0,2026-04-12,2026-04-13,0,0,,,,"inventory, metadata and cited-path checks only"
audits/ui-audit/whole-app_ui-audit.md,Pre-Launch Audits & Strategy (Mar-Apr 2026),Audit / analysis,whole-app_ui-audit.md,,,342,2026-04-12,2026-04-12,0,0,YELLOW,H,"Historical snapshot (last changed 2026-04-12, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
ctc-unified-data-architecture-pass7.md,Data Architecture (Pass 1-7),Feature reference,PASS 7 - CtC Unified Data Architecture Design (Grounded),,,282,2026-03-27,2026-03-27,0,0,YELLOW,H,"Historical snapshot (last changed 2026-03-27, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
dashboard-next-best-move-changes.md,"Guidance, Actions & Home Intelligence",Feature reference,Dashboard — Next Best Move: Changes Reference,,,346,2026-05-04,2026-05-04,7,2,,,,"inventory, metadata and cited-path checks only"
data-capture-mapping-pass3.md,Data Architecture (Pass 1-7),Feature reference,PASS 3 - Data Capture Mapping,,,85,2026-03-27,2026-03-27,4,0,YELLOW,H,"Historical snapshot (last changed 2026-03-27, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
data-reuse-synthesis-pass5.md,Data Architecture (Pass 1-7),Feature reference,PASS 5 - Data Reuse and System Synthesis,,,98,2026-03-27,2026-03-27,0,0,YELLOW,H,"Historical snapshot (last changed 2026-03-27, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
feature-data-flow-pass2.md,Data Architecture (Pass 1-7),Feature reference,PASS 2 — Feature Data Flow Mapping,,,475,2026-03-27,2026-07-24,73,9,ORANGE,C17,"Pass docs are Mar 27 snapshots; this one was touched Jul 24 but still cites 9 missing files (homeRiskReplay service/controller/validators, orchestrationCompletion controller).",targeted cross-document and/or code-path review
functional/ADMIN_ANALYTICS.md,"Admin, Workers & Operations",Feature reference,ADMIN_ANALYTICS.md,,,531,2026-03-16,2026-03-16,0,0,YELLOW,H,"Historical snapshot (last changed 2026-03-16, before the Jul 2026 launch-readiness work). Verify against code before use.",git-date heuristic only
functional/ADMIN_MODULE_FRD.md,"Admin, Workers & Operations",Requirements (FRD/PRD),Contract-to-Cozy ADMIN Platform — Functional Requirements Document,"Target-state FRD — partially implemented, phased delivery required",2.0,1719,2026-07-09,2026-07-18,74,0,,,,"inventory, metadata and cited-path checks only"
